epoch,vit,resnet,convnext
0.19,0.3865,,
0.38,0.3594,,
0.5700000000000001,0.2968,,
0.75,0.28500000000000003,,
0.9400000000000001,0.37510000000000004,,
1.13,0.1776,,
1.32,0.1206,,
1.51,0.2576,,
1.7000000000000002,0.4687,,
1.8900000000000001,0.2019,,
2.08,0.1374,,
2.26,0.3271,,
2.45,0.21960000000000002,,
2.64,0.058600000000000006,,
2.83,0.0937,,
3.02,0.2021,,
3.21,0.09330000000000001,,
3.4,0.13290000000000002,,
3.58,0.1254,,
3.77,0.122,,
3.96,0.014100000000000001,,
4.15,0.1242,,
4.34,0.1115,,
4.53,0.0514,,
4.72,0.1193,,
4.91,0.12390000000000001,,
5.09,0.041,,
5.28,0.031200000000000002,,
5.47,0.0918,,
5.66,0.0658,,
5.85,0.0029000000000000002,,
6.04,0.12660000000000002,,
6.23,0.0017000000000000001,,
6.42,0.0206,,
6.6,0.0159,,
6.79,0.1615,,
6.98,0.0142,,
7.17,0.0039000000000000003,,
7.36,0.028,,
7.55,0.1272,,
7.74,0.0363,,
7.92,0.06960000000000001,,
8.11,0.010700000000000001,,
8.3,0.0015,,
8.49,0.0698,,
8.68,0.0176,,
8.87,0.034,,
9.06,0.1743,,
9.25,0.013300000000000001,,
9.43,0.0587,,
9.62,0.0064,,
9.81,0.0022,,
10.0,0.0463,,
10.19,0.0012000000000000001,,
10.38,0.0038,,
10.57,0.0017000000000000001,,
10.75,0.0178,,
10.94,0.0782,,
11.13,0.0027,,
11.32,0.0006000000000000001,,
11.51,0.0002,,
11.7,0.0001,,
11.89,0.024300000000000002,,
12.08,0.0946,,
12.26,0.065,,
12.45,0.1278,,
12.64,0.004200000000000001,,
12.83,0.0002,,
13.02,0.0641,,
13.21,0.00030000000000000003,,
13.4,0.0151,,
13.58,0.029,,
13.77,0.0001,,
13.96,0.0014,,
14.15,0.001,,
14.34,0.0,,
14.53,0.0,,
14.72,0.0,,
14.91,0.0,,
15.09,0.0,,
15.28,0.0,,
15.47,0.0,,
15.66,0.0,,
15.85,0.0,,
16.04,0.0,,
16.23,0.0,,
16.42,0.0,,
16.6,0.0,,
16.79,0.0,,
16.98,0.0,,
17.17,0.0,,
17.36,0.0,,
17.55,0.0,,
17.74,0.0,,
17.92,0.0,,
18.11,0.0,,
18.3,0.0,,
18.49,0.0,,
18.68,0.0,,
18.87,0.0,,
19.06,0.0,,
19.25,0.0,,
19.43,0.0,,
19.62,0.0,,
19.81,0.0,,
20.0,0.0,,
20.19,0.0,,
20.38,0.0,,
20.57,0.0,,
20.75,0.0,,
20.94,0.0,,
21.13,0.0,,
21.32,0.0,,
21.51,0.0,,
21.7,0.0,,
21.89,0.0,,
22.08,0.0,,
22.26,0.0,,
22.45,0.0,,
22.64,0.0,,
22.83,0.0,,
23.02,0.0,,
23.21,0.0,,
23.4,0.0,,
23.58,0.0,,
23.77,0.0,,
23.96,0.0,,
24.15,0.0,,
24.34,0.0,,
24.53,0.0,,
24.72,0.0,,
24.91,0.0,,
25.09,0.0,,
25.28,0.0,,
25.47,0.0,,
25.66,0.0,,
25.85,0.0,,
26.04,0.0,,
26.23,0.0,,
26.42,0.0,,
26.6,0.0,,
26.79,0.0,,
26.98,0.0,,
27.17,0.0,,
27.36,0.0,,
27.55,0.0,,
27.74,0.0,,
27.92,0.0,,
28.11,0.0,,
28.3,0.0,,
28.49,0.0,,
28.68,0.0,,
28.87,0.0,,
29.06,0.0,,
29.25,0.0,,
29.43,0.0,,
29.62,0.0,,
29.81,0.0,,
30.0,0.0,,
30.19,0.0,,
30.38,0.0,,
30.57,0.0,,
30.75,0.0,,
30.94,0.0,,
31.13,0.0,,
31.32,0.0,,
31.51,0.0,,
31.7,0.0,,
31.89,0.0,,
32.08,0.0,,
32.26,0.0,,
32.45,0.0,,
32.64,0.0,,
32.83,0.0,,
33.02,0.0,,
33.21,0.0,,
33.4,0.0,,
33.58,0.0,,
33.77,0.0,,
33.96,0.0,,
34.15,0.0,,
34.34,0.0,,
34.53,0.0,,
34.72,0.0,,
34.91,0.0,,
35.09,0.0,,
35.28,0.0,,
35.47,0.0,,
35.66,0.0,,
35.85,0.0,,
36.04,0.0,,
36.23,0.0,,
36.42,0.0,,
36.6,0.0,,
36.79,0.0,,
36.98,0.0,,
37.17,0.0,,
37.36,0.0,,
37.55,0.0,,
37.74,0.0,,
37.92,0.0,,
38.11,0.0,,
38.3,0.0,,
38.49,0.0,,
38.68,0.0,,
38.87,0.0,,
39.06,0.0,,
39.25,0.0,,
39.43,0.0,,
39.62,0.0,,
39.81,0.0,,
40.0,0.0,,
40.19,0.0,,
40.38,0.0,,
40.57,0.0,,
40.75,0.0,,
40.94,0.0,,
41.13,0.0,,
41.32,0.0,,
41.51,0.0,,
41.7,0.0,,
41.89,0.0,,
42.08,0.0,,
42.26,0.0,,
42.45,0.0,,
42.64,0.0,,
42.83,0.0,,
43.02,0.0,,
43.21,0.0,,
43.4,0.0,,
43.58,0.0,,
43.77,0.0,,
43.96,0.0,,
44.15,0.0,,
44.34,0.0,,
44.53,0.0,,
44.72,0.0,,
44.91,0.0,,
45.09,0.0,,
45.28,0.0,,
45.47,0.0,,
45.66,0.0,,
45.85,0.0,,
46.04,0.0,,
46.23,0.0,,
46.42,0.0,,
46.6,0.0,,
46.79,0.0,,
46.98,0.0,,
47.17,0.0,,
47.36,0.0,,
47.55,0.0,,
47.74,0.0,,
47.92,0.0,,
48.11,0.0,,
48.3,0.0,,
48.49,0.0,,
48.68,0.0,,
48.87,0.0,,
49.06,0.0,,
49.25,0.0,,
49.43,0.0,,
49.62,0.0,,
49.81,0.0,,
50.0,0.0,,
50.19,0.0,,
50.38,0.0,,
50.57,0.0,,
50.75,0.0,,
50.94,0.0,,
51.13,0.0,,
51.32,0.0,,
51.51,0.0,,
51.7,0.0,,
51.89,0.0,,
52.08,0.0,,
52.26,0.0,,
52.45,0.0,,
52.64,0.0,,
52.83,0.0,,
53.02,0.0,,
53.21,0.0,,
53.4,0.0,,
53.58,0.0,,
53.77,0.0,,
53.96,0.0,,
54.15,0.0,,
54.34,0.0,,
54.53,0.0,,
54.72,0.0,,
0.19,,0.6746,
0.38,,0.6161,
0.5700000000000001,,0.5919,
0.75,,0.4898,
0.9400000000000001,,0.4622,
1.13,,0.3542,
1.32,,0.306,
1.51,,0.268,
1.7000000000000002,,0.2019,
