epoch,vit,resnet,convnext
1.8900000000000001,0.9505494505494501,,
3.77,0.923076923076923,,
5.66,0.9395604395604391,,
7.55,0.928571428571428,,
9.43,0.9010989010989011,,
11.32,0.9395604395604391,,
13.21,0.9120879120879121,,
15.09,0.945054945054945,,
16.98,0.945054945054945,,
18.87,0.945054945054945,,
20.75,0.945054945054945,,
22.64,0.945054945054945,,
24.53,0.945054945054945,,
26.42,0.945054945054945,,
28.3,0.945054945054945,,
30.19,0.945054945054945,,
32.08,0.945054945054945,,
33.96,0.945054945054945,,
35.85,0.945054945054945,,
37.74,0.945054945054945,,
39.62,0.945054945054945,,
41.51,0.945054945054945,,
43.4,0.945054945054945,,
45.28,0.945054945054945,,
47.17,0.945054945054945,,
49.06,0.945054945054945,,
50.94,0.945054945054945,,
52.83,0.945054945054945,,
54.72,0.945054945054945,,
1.8900000000000001,,0.8956043956043951,
3.77,,0.9780219780219781,
5.66,,0.989010989010989,
7.55,,0.9780219780219781,
9.43,,0.9945054945054941,
11.32,,0.989010989010989,
13.21,,0.989010989010989,
15.09,,0.9780219780219781,
16.98,,0.9780219780219781,
18.87,,0.9835164835164831,
20.75,,0.989010989010989,
22.64,,0.9835164835164831,
24.53,,0.989010989010989,
26.42,,0.9835164835164831,
28.3,,0.9835164835164831,
30.19,,0.9780219780219781,
32.08,,0.9835164835164831,
33.96,,0.9780219780219781,
35.85,,0.9835164835164831,
37.74,,0.9835164835164831,
39.62,,0.9835164835164831,
41.51,,0.9835164835164831,
43.4,,0.9780219780219781,
45.28,,0.989010989010989,
47.17,,0.9780219780219781,
49.06,,0.9835164835164831,
50.94,,0.9725274725274721,
52.83,,0.9725274725274721,
54.72,,0.9835164835164831,
56.6,,0.9780219780219781,
58.49,,0.9780219780219781,
60.38,,0.9835164835164831,
62.26,,0.9835164835164831,
64.15,,0.9835164835164831,
66.04,,0.9835164835164831,
67.92,,0.9835164835164831,
69.81,,0.9835164835164831,
71.7,,0.9835164835164831,
73.58,,0.9835164835164831,
75.47,,0.9835164835164831,
77.36,,0.9835164835164831,
79.25,,0.9835164835164831,
81.13,,0.9835164835164831,
83.02,,0.9835164835164831,
1.8900000000000001,,,0.9780219780219781
3.77,,,0.9725274725274721
5.66,,,0.9505494505494501
7.55,,,0.967032967032967
9.43,,,0.9615384615384611
11.32,,,0.9725274725274721
13.21,,,0.945054945054945
15.09,,,0.9615384615384611
16.98,,,0.967032967032967
18.87,,,0.9780219780219781
20.75,,,0.9780219780219781
22.64,,,0.9780219780219781
24.53,,,0.9780219780219781
26.42,,,0.9780219780219781
28.3,,,0.9780219780219781
30.19,,,0.9780219780219781
32.08,,,0.9780219780219781
33.96,,,0.9780219780219781
35.85,,,0.9780219780219781
37.74,,,0.9780219780219781
39.62,,,0.9780219780219781
41.51,,,0.9780219780219781
43.4,,,0.9780219780219781
45.28,,,0.9780219780219781
47.17,,,0.9780219780219781
49.06,,,0.9780219780219781
50.94,,,0.9780219780219781
52.83,,,0.9780219780219781
54.72,,,0.9780219780219781
56.6,,,0.9780219780219781
58.49,,,0.9780219780219781
60.38,,,0.9780219780219781
62.26,,,0.9780219780219781
64.15,,,0.9780219780219781
66.04,,,0.9780219780219781
67.92,,,0.9780219780219781
69.81,,,0.9780219780219781
71.7,,,0.9780219780219781
73.58,,,0.9780219780219781
75.47,,,0.9780219780219781
77.36,,,0.9780219780219781
79.25,,,0.9780219780219781
81.13,,,0.9780219780219781
83.02,,,0.9780219780219781
84.91,,,0.9780219780219781
86.79,,,0.9780219780219781
88.68,,,0.9780219780219781
90.57,,,0.9780219780219781
92.45,,,0.9780219780219781
94.34,,,0.9780219780219781
96.23,,,0.9780219780219781
98.11,,,0.9780219780219781
100.0,,,0.9780219780219781
